name_ja,name_en,name_zh_cn,name_ko,name_vi,name_ru,name_id,note_ja,note_en,fee,trash_type_str
文化焚きつけ,Kindling (Bunkatakitsuke),文化引火物 (点火材料),문화 불쏘시개 (장작),Củi mồi (Bunkatakitsuke),Растопка (Bunkatakitsuke),Bahan Bakar Budaya (Kayu Bakar),水に浸し、発火しないようにして,Soak in water to prevent ignition.,有料,燃やせるごみ
ぶんちん,Paperweight,镇纸,문진 (종이 누르개),Chặn giấy,Пресс-папье,Pemberat Kertas,なし,None,有料,燃やせないごみ
文机,Writing Desk (Low Desk),书桌 (矮桌),책상 (앉은뱅이 책상),Bàn viết,Письменный стол (низкий),Meja Tulis Rendah,木製はリユース（再利用）収集対象,Wooden desks are subject to reuse collection.,有料,大型ごみ
噴霧器（プラ製）,Sprayer/Atomizer (plastic),喷雾器（塑料制）,분무기 (플라스틱),Bình phun (bằng nhựa),Опрыскиватель (пластиковый),Alat Semprot (plastik),なし,None,有料,燃やせるごみ
ヘアスプレー,Hair Spray,喷发剂,헤어 스프레이,Keo xịt tóc,Лак для волос,Hair Spray,使い切って,Must be completely used up.,無料,スプレー缶・カセットボンベ
ヘアスプレーのキャップ（プラ製）,Hair spray cap (plastic),喷发剂的盖子（塑料制）,헤어 스프레이 캡 (플라스틱),Nắp chai xịt tóc (nhựa),Колпачок от лака для волос (пластик),Tutup Hair Spray (plastik),なし,None,無料,容器包装プラスチック
ヘアピン,Hair Pin,发夹,머리핀,Kẹp tóc,Заколка,Jepitan Rambut,なし,None,有料,燃やせないごみ
ペール缶（エンジンオイル用）,Pail Can (for engine oil),桶罐（发动机油用）,페일 캔 (엔진 오일용),Thùng phuy (dùng cho dầu động cơ),Жестяная банка (для машинного масла),Kaleng Ember (untuk oli mesin),なし,None,有料,燃やせないごみ
ベッド,Bed,床,침대,Giường,Кровать,Tempat Tidur (Kasur),ベッドマットレスは別扱いで「大型ごみ」,Mattress must be handled separately as 'Bulky Waste.',有料,大型ごみ
ペットの運搬ケース（ケージ）,Pet Carrier (Cage),宠物运输箱（笼子）,반려동물 운반 케이스 (케이지),Hộp vận chuyển thú cưng (lồng),Переноска для животных (клетка),Kandang Transportasi Hewan Peliharaan,なし,None,有料,大型ごみ
ペットの小屋,Pet House (Kennel),宠物小屋,반려동물 집,Chuồng chó/mèo,Будка для животного,Kandang Hewan Peliharaan,なし,None,有料,大型ごみ
ペットの死体（飼い主不明）,Dead Pet (Owner Unknown),宠物尸体（主人不明）,반려동물 사체 (주인 불명),Xác thú cưng (không rõ chủ sở hữu),Труп животного (владелец неизвестен),Bangkai Hewan Peliharaan (Pemilik Tidak Diketahui),清掃事務所へご連絡を,Contact the Sanitation Office.,-,市で収集しないもの
ペットのトイレシート,Pet Toilet Sheet,宠物尿垫,반려동물 배변 시트,Tấm lót vệ sinh cho thú cưng,Туалетный лоток для животных,Alas Toilet Hewan Peliharaan,なし,None,有料,燃やせるごみ
ペットのトイレ砂,Pet Litter Sand,宠物猫砂,반려동물 화장실 모래,Cát vệ sinh cho thú cưng,Наполнитель для кошачьего туалета,Pasir Toilet Hewan Peliharaan,なし,None,有料,燃やせるごみ
ペットの糞,Pet Feces (Excrement),宠物粪便,반려동물 배설물,Phân thú cưng,Фекалии животных,Kotoran Hewan Peliharaan,袋を二重にするなど、飛散防止措置をして,"Take measures to prevent scattering, such as double-bagging.",有料,燃やせるごみ
ペットボトル,PET Bottle,塑料瓶,페트병,Chai nhựa PET,ПЭТ-бутылка,Botol PET,ふた・ラベルは「容器包装プラスチック」,Caps and labels should be disposed of as 'Container/Packaging Plastic.',無料,びん・缶・ペットボトル
ヘッドホン,Headphones,耳机,헤드폰,Tai nghe,Наушники,Headphone,小型家電の無料回収に出すと資源に！,Can be recycled using the free small appliance collection service!,有料,燃やせないごみ
ベッドマットレス,Bed Mattress,床垫,침대 매트리스,Đệm giường,Матрас,Kasur,なし,None,有料,大型ごみ
ベニヤ板,Plywood,胶合板,합판,Ván ép,Фанера,Kayu Lapis,なし,None,有料,大型ごみ
ベビーカー,Stroller / Baby Carriage,婴儿推车,유모차,Xe đẩy em bé,Детская коляска,Kereta Dorong Bayi,リユース（再利用）収集対象,Eligible for reuse collection.,有料,大型ごみ
ベビーサークル,Playpen,婴儿围栏,아기 울타리,Cũi chơi em bé,Детский манеж,Arena Bermain Bayi (Playpen),リユース（再利用）収集対象,Eligible for reuse collection.,有料,大型ごみ
ベビーだんす,Baby Chest of Drawers,婴儿衣柜,아기 서랍장,Tủ đựng đồ em bé,Детский комод,Lemari Laci Bayi,木製はリユース（再利用）収集対象,Wooden items are eligible for reuse collection.,有料,大型ごみ
ベビーチェア,Baby Chair / High Chair,婴儿椅,아기 의자,Ghế trẻ em,Детский стул,Kursi Bayi,木製はリユース（再利用）収集対象,Wooden items are eligible for reuse collection.,有料,大型ごみ
ベビーバス,Baby Bathtub,婴儿浴盆,아기 욕조,Bồn tắm em bé,Детская ванночка,Bak Mandi Bayi,なし,None,有料,大型ごみ
ベビーベッド,Baby Crib / Cot,婴儿床,아기 침대,Giường cũi em bé,Детская кроватка,Ranjang Bayi,なし,None,有料,大型ごみ
ベビー用手押し車,Baby Walker / Push Toy,婴儿手推车（学步车）,아기 보행기 (밀고 다니는 것),Xe tập đi cho bé,Детская ходунка,Kereta Dorong Bayi (untuk berjalan),リユース（再利用）収集対象,Eligible for reuse collection.,有料,大型ごみ
ベルト,Belt,皮带,벨트,Thắt lưng,Ремень,Sabuk,金属製は「燃やせないごみ」,Metal belts are Non-combustible Waste.,有料,燃やせるごみ
ヘルメット,Helmet,头盔,헬멧,Mũ bảo hiểm,Шлем,Helm,なし,None,有料,燃やせるごみ
便器（和・洋）,Toilet Bowl (Japanese or Western style),马桶（日式或西式）,변기 (좌변기/양변기),Bồn cầu (kiểu Nhật/kiểu Tây),Унитаз (японский или западный),Kloset (Gaya Jepang/Barat),なし,None,有料,大型ごみ
ペンキの缶,Paint Can,油漆罐,페인트 캔,Lon sơn,Банка из-под краски,Kaleng Cat,中身を使い切って,Must empty contents completely.,有料,燃やせないごみ
ペンキのスプレー,Spray Paint Can,喷漆罐,스프레이 페인트,Bình xịt sơn,Аэрозольная краска,Cat Semprot,使い切って,Use up completely.,無料,スプレー缶・カセットボンベ
便座,Toilet Seat,马桶盖,변기 시트,Bệ ngồi bồn cầu,Сиденье для унитаза,Dudukan Kloset,温水洗浄機付便座、暖房便座は「燃やせないごみ」（小型家電の無料回収には出せません。）,Electric/Heated seats are Non-combustible Waste (not eligible for small appliance free collection).,有料,燃やせるごみ
ベンチ,Bench,长椅,벤치,Ghế dài,Скамейка,Bangku,なし,None,有料,大型ごみ
ペンチ,Pliers,钳子,펜치,Kìm,Плоскогубцы,Tang,なし,None,有料,燃やせないごみ
弁当箱,Lunch Box / Bento Box,便当盒,도시락통,Hộp cơm Bento,Ланч-бокс,Kotak Bekal (Bento Box),金属製は「燃やせないごみ」,Metal items are Non-combustible Waste.,有料,燃やせるごみ
ホイールキャップ（プラ製）,Wheel Cap (Plastic),轮毂盖（塑料制）,휠캡 (플라스틱),Nắp mâm xe (nhựa),Колпак колеса (пластиковый),Tutup Roda (Plastik),金属製は「燃やせないごみ」,Metal items are Non-combustible Waste.,有料,燃やせるごみ
ほうき,Broom,扫帚,빗자루,Chổi,Метла,Sapu,"金属製は「燃やせないごみ」
竹ぼうきなど、長柄のものは「大型ごみ」",Metal items are Non-combustible Waste. Long-handled items (like bamboo brooms) are Bulky Waste.,有料,燃やせるごみ
帽子,Hat / Cap,帽子,모자,Mũ,Головной убор,Topi,古着の無料回収に出すと資源に！,"If put out for free used clothing collection, it becomes a resource!",有料,燃やせるごみ
防虫剤,Insect Repellent / Mothball,防虫剂,방충제,Thuốc chống côn trùng,Средство от насекомых,Obat Pengusir Serangga,なし,None,有料,燃やせるごみ
包丁,Kitchen Knife,菜刀,식칼,Dao làm bếp,Кухонный нож,Pisau Dapur,刃先を厚紙などで包んで、「キケン」と表示,"Wrap the blade in thick paper and mark it ""DANGER"".",有料,燃やせないごみ
ボウリングの玉,Bowling Ball,保龄球,볼링공,Bóng bowling,Шар для боулинга,Bola Bowling,なし,None,有料,燃やせないごみ
ボウル（木製・プラ製）,Bowl (Wooden or Plastic),碗（木制/塑料制）,그릇 (나무/플라스틱),Bát (gỗ/nhựa),Миска (дерево/пластик),Mangkuk (Kayu/Plastik),なし,None,有料,燃やせるごみ
ボウル（木製・プラ製以外）,Bowl (Other than Wooden or Plastic),碗（非木制/塑料制）,그릇 (나무/플라스틱 외),Bát (ngoài gỗ/nhựa),Миска (кроме дерева/пластика),Mangkuk (Selain Kayu atau Plastik),なし,None,有料,燃やせないごみ
ホース,Hose,软管,호스,Vòi nước,Шланг,Selang,なし,None,有料,燃やせるごみ
ホースリール台,Hose Reel Stand,软管卷盘架,호스릴 받침대,Giá cuộn vòi,Катушка для шланга,Dudukan Gulungan Selang,なし,None,有料,大型ごみ
ポータブルテレビ（電源として一次電池又は蓄電池を使用する液晶テレビ）,Portable TV (LCD TV using primary or rechargeable batteries),便携式电视（使用一次性电池或蓄电池的液晶电视）,휴대용 TV (1차 전지 또는 축전지를 사용하는 LCD TV),TV di động (LCD dùng pin sơ cấp/pin sạc),"Портативный телевизор (ЖК, работающий от батарей)",TV Portabel (LCD yang menggunakan baterai primer/sekunder),なし,None,有料,燃やせないごみ
ポータブル冷蔵庫,Portable Refrigerator,便携式冰箱,휴대용 냉장고,Tủ lạnh di động,Портативный холодильник,Kulkas Portabel,"販売店または家電回収協力店へ
詳細は、「テレビ・冷蔵庫・洗濯機・エアコンリサイクル」のページ参照","Consult retailers or authorized collection points. See the ""TVs, Refrigerators, Washing Machines, and Air Conditioners Recycling"" page for details.",-,市で収集しないもの
ホームタンク（屋外用、90ℓを超えるもの）,"Home oil tank (outdoor use, exceeding 90 liters)",家用储油罐（室外用，超过90升）,"가정용 탱크 (실외용, 90L 초과)","Bồn chứa nhiên liệu tại nhà (ngoài trời, trên 90 lít)","Домашний резервуар для топлива (уличный, более 90 л)","Tangki bahan bakar rumah (penggunaan luar ruangan, melebihi 90 liter)",金属商に相談,Consult a metal dealer.,-,市で収集しないもの
ホームベーカリー,Home bakery machine,家用面包机,홈 베이커리,Máy làm bánh mì gia đình,Домашняя хлебопечка,Mesin pembuat roti rumahan (Home bakery),小型家電の無料回収に出すと資源に！,Can be recycled if submitted for free small appliance collection.,有料,燃やせないごみ
ホームラック,Home rack/shelf,家用置物架,홈 랙,Kệ gia đình (Home rack),Домашний стеллаж,Rak rumah,木製はリユース（再利用）収集対象,Wooden items are subject to reuse collection.,有料,大型ごみ
ボール（ゴルフ、サッカー、卓球、テニス、野球、ゲートボール、パークゴルフなど）,"Balls (golf, soccer, table tennis, tennis, baseball, gateball, park golf, etc.)",球类（高尔夫、足球、乒乓球、网球、棒球、门球、槌球等）,"공 (골프, 축구, 탁구, 테니스, 야구, 게이트볼, 파크골프 등)","Bóng (golf, bóng đá, bóng bàn, quần vợt, bóng chày, gateball, park golf, v.v.)","Мячи (гольф, футбол, настольный теннис, теннис, бейсбол, гейтбол, парковый гольф и т.д.)","Bola (golf, sepak bola, tenis meja, tenis, bisbol, gateball, park golf, dll.)",なし,None.,有料,燃やせるごみ
ボールペン・ボールペンの芯,Ballpoint pens and refills,圆珠笔/圆珠笔芯,볼펜 및 볼펜 심,Bút bi và ruột bút bi,Шариковые ручки и стержни,Pulpen dan isi ulang pulpen,なし,None.,有料,燃やせるごみ
木刀,Wooden sword (Bokken),木刀,목도,Kiếm gỗ (Bokken),Деревянный меч (Боккен),Pedang kayu (Bokken),なし,None.,有料,大型ごみ
ポケットティッシュの個袋,Individual wrapping for pocket tissues,纸巾包装袋（单个装）,휴대용 티슈 개별 포장 비닐,Vỏ bọc riêng của khăn giấy bỏ túi,Индивидуальная упаковка карманных салфеток,Pembungkus individual tisu saku,なし,None.,無料,容器包装プラスチック
歩行器（子供用遊具）,Baby walker (children's toy),学步车（儿童玩具）,보행기 (어린이 놀이기구),Xe tập đi (đồ chơi trẻ em),Ходунки (детская игрушка),Alat bantu jalan bayi (mainan anak),リユース（再利用）収集対象,Subject to reuse collection.,有料,大型ごみ
補助便座,Auxiliary toilet seat,辅助马桶座,아동용 변기 커버/보조 변좌,Ghế bô phụ trợ,Вспомогательное сиденье для унитаза,Kursi toilet tambahan,プラ製以外は「燃やせないごみ」,"Non-plastic items are classified as ""Non-burnable waste.""",有料,燃やせるごみ
ボタン,Buttons,纽扣,단추,Cúc áo (Nút),Пуговицы,Kancing,金属製は「燃やせないごみ」,"Metal buttons are classified as ""Non-burnable waste.""",有料,燃やせるごみ
ボタン電池,Button batteries,纽扣电池,버튼형 건전지,Pin cúc áo,Кнопочные батарейки,Baterai kancing,販売店・協力店の回収箱へ（市が収集しないごみのページ参照）,Take to collection boxes at retailers/partner stores (See non-collectible waste page).,-,市で収集しないもの
ホッチキス・ステープラ,Stapler,订书机,스테이플러 (호치키스),Dụng cụ bấm kim (Stapler),Степлер,Penjepret kertas (Stapler),なし,None.,有料,燃やせないごみ
ポット,Pot/Kettle,热水瓶/水壶,주전자/보온병 (Pot),Ấm (bình),Чайник/Термос,Teko/Panci,電気ポットは、小型家電の無料回収に出すと資源に！,Electric pots can be recycled through free small appliance collection.,有料,燃やせないごみ
ホットカーペット,Electric blanket/Heated carpet,电热毯/地毯,전기장판/핫 카펫,Thảm sưởi (Hot carpet),Ковер с подогревом,Karpet pemanas (Hot carpet),なし,None.,有料,燃やせないごみ
ホットプレート,Hot plate/Electric griddle,电热板/烤盘,핫 플레이트,Bếp nướng điện (Hot plate),Электрическая плита/Гриль,Piring panas/Alat panggang listrik,小型家電の無料回収に出すと資源に！,Can be recycled if submitted for free small appliance collection.,有料,燃やせないごみ
ボディブラシ,Body brush,沐浴刷,바디 브러시,Bàn chải tắm,Щетка для тела,Sikat badan,なし,None.,有料,燃やせるごみ
ほ乳びん（ガラス製）,Baby bottle (glass),奶瓶（玻璃制）,젖병 (유리),Bình sữa (thủy tinh),Детская бутылочка (стекло),Botol susu bayi (kaca),なし,None.,有料,燃やせないごみ
ほ乳びん（プラ製）,Baby bottle (plastic),奶瓶（塑料制）,젖병 (플라스틱),Bình sữa (nhựa),Детская бутылочка (пластик),Botol susu bayi (plastik),なし,None.,有料,燃やせるごみ
ポリタンク,Plastic container (Jerrycan/Poly tank),塑料油桶/聚乙烯罐,폴리 탱크,Can nhựa (Poly tank),Пластиковая канистра,Jerigen plastik (Poly tank),なし,None.,有料,燃やせるごみ
ポリ袋,Plastic bag/Poly bag,塑料袋,비닐봉투 (폴리백),Túi nhựa (Poly bag),Полиэтиленовый пакет,Kantong plastik (Poly bag),なし,None.,無料,容器包装プラスチック
保冷剤,Coolant packs/Ice packs,保冷剂,아이스팩/보냉제,Túi giữ lạnh (Gel làm mát),Хладоэлемент (Пакет со льдом),Kantong pendingin (Ice pack),なし,None.,有料,燃やせるごみ
本,Books,书籍,책,Sách,Книги,Buku,古紙（新聞・雑誌・ダンボール）の無料回収のページから、集団資源回収や回収拠点のご利用方法をお調べいただけます。やむを得ない場合は「燃やせるごみ」で収集,"Recycle through group collection. If unavoidable, dispose as ""Burnable waste.""",-,集団資源回収など
本立て（ブックエンド）,Bookend,书立（书挡）,책꽂이/북엔드,Chặn sách (Bookend),Держатель для книг (Букэнд),Penyangga buku (Bookend),木製・プラ製は「燃やせるごみ」,"Wood or plastic bookends are classified as ""Burnable waste.""",有料,燃やせないごみ
本棚,Bookshelf,书架,책장,Kệ sách,Книжный шкаф,Rak buku,木製はリユース（再利用）収集対象,Wooden items are subject to reuse collection.,有料,大型ごみ
ポンプ（ポリタンクから灯油・水などを汲むもの、プラ製）,"Pump (plastic, for kerosene/water from poly tank)",泵（塑料制，用于从油罐中抽取煤油/水等）,"펌프 (플라스틱제, 폴리 탱크에서 등유/물 등을 퍼내는 것)","Bơm (nhựa, dùng để bơm dầu hỏa/nước từ can nhựa)","Насос (пластиковый, для перекачки керосина/воды из канистры)","Pompa (plastik, untuk memompa minyak tanah/air dari jerigen)",電動式は、小型家電の無料回収に出すと資源に！,Electric pumps can be recycled through free small appliance collection.,有料,燃やせるごみ
マーカーペン,Marker pen,记号笔,마커펜,Bút đánh dấu (Marker pen),Маркер,Pulpen spidol (Marker pen),なし,None.,有料,燃やせるごみ
マーガリンの箱（紙製）,Margarine box (paper),麦淇淋盒（纸制）,마가린 상자 (종이),Hộp bơ thực vật (bằng giấy),Коробка от маргарина (бумажная),Kotak margarin (kertas),なし,None.,無料,雑がみ
マーガリンの容器（プラ製）,Margarine container (plastic),麦淇淋容器（塑料制）,마가린 용기 (플라스틱),Hộp đựng bơ thực vật (bằng nhựa),Упаковка от маргарина (пластиковая),Wadah margarin (plastik),なし,None.,無料,容器包装プラスチック
麻雀卓,Mahjong table,麻将桌,마작 테이블,Bàn mạt chược,Стол для маджонга,Meja Mahjong,なし,None.,有料,大型ごみ
麻雀牌セット,Mahjong tile set,麻将牌套装,마작 패 세트,Bộ mạt chược,Набор фишек для маджонга,Set ubin Mahjong,なし,None.,有料,燃やせるごみ
麻雀マット,Mahjong mat,麻将垫,마작 매트,Thảm mạt chược,Коврик для маджонга,Tikar Mahjong,なし,None,有料,燃やせるごみ
マイク,Microphone,麦克风,마이크,Micro,Микрофон,Mikrofon,小型家電の無料回収に出すと資源に！,Can be recycled if placed in free collection for small appliances.,有料,燃やせないごみ
マイクロビーズ,Microbeads,微珠,마이크로비즈,Hạt vi nhựa,Микрогранулы,Microbeads,なし,None,有料,燃やせるごみ
マウス（パソコン用）,Mouse (for PC),鼠标（电脑用）,마우스 (PC용),Chuột (dùng cho PC),Мышь (для ПК),Mouse (untuk PC),小型家電の無料回収に出すと資源に！,Can be recycled if placed in free collection for small appliances.,有料,燃やせないごみ
マウスパッド,Mouse pad,鼠标垫,마우스 패드,Tấm lót chuột,Коврик для мыши,Alas Mouse,紙製は「雑がみ」,Paper ones are 'Miscellaneous Paper'.,有料,燃やせるごみ
まきストーブ,Wood stove,燃木炉,장작 난로,Bếp củi,Дровяная печь,Kompor Kayu,なし,None,有料,大型ごみ
マグネット（クリップ・フックなど）,"Magnet (clip/hook, etc.)",磁铁（夹子、挂钩等）,자석 (클립/후크 등),"Nam châm (kẹp/móc, v.v.)","Магнит (скрепка, крючок и т.п.)","Magnet (klip/kait, dll.)",なし,None,有料,燃やせないごみ
まくら,Pillow,枕头,베개,Gối,Подушка,Bantal,なし,None,有料,燃やせるごみ
まくらカバー,Pillow cover,枕套,베개 커버,Vỏ gối,Наволочка,Sarung Bantal,なし,None,有料,燃やせるごみ
枕木,Railroad tie / Sleeper,枕木,침목,Tà vẹt,Шпала,Bantalan Rel,なし,None,有料,大型ごみ
間仕切りスクリーン,Partition screen,隔断屏风,칸막이 스크린,Màn chắn chia phòng,Разделительный экран,Layar Partisi,なし,None,有料,大型ごみ
マジックペン,Marker pen,记号笔,마커 펜,Bút dạ quang,Маркер,Spidol,なし,None,有料,燃やせるごみ
マッサージ器具（電動式）,Massager (electric),按摩器械（电动式）,마사지 기구 (전동식),Dụng cụ mát-xa (điện),Массажный прибор (электрический),Alat Pijat (elektrik),小型家電の無料回収に出すと資源に！,Can be recycled if placed in free collection for small appliances.,有料,燃やせないごみ
マッサージチェア,Massage chair,按摩椅,마사지 의자,Ghế mát-xa,Массажное кресло,Kursi Pijat,なし,None,有料,大型ごみ
マッチ,Matches,火柴,성냥,Diêm,Спички,Korek Api,水に浸し、発火しないようにして,Soak in water to prevent ignition.,有料,燃やせるごみ
マットレス,Mattress,床垫,매트리스,Nệm,Матрас,Kasur,なし,None,有料,大型ごみ
まな板（木製・プラ製）,Cutting board (wood/plastic),砧板（木制/塑料制）,도마 (목제/플라스틱제),Thớt (gỗ/nhựa),Разделочная доска (дерево/пластик),Talenan (kayu/plastik),なし,None,有料,燃やせるごみ
まな板（木製・プラ製以外）,Cutting board (non-wood/plastic),砧板（非木制/塑料制）,도마 (목제/플라스틱제 외),Thớt (không phải gỗ/nhựa),Разделочная доска (кроме дерева/пластика),Talenan (bukan kayu/plastik),なし,None,有料,燃やせないごみ
マニキュアのびん,Nail polish bottle,指甲油瓶,매니큐어 병,Chai sơn móng tay,Флакон лака для ногтей,Botol Kutek,なし,None,有料,燃やせないごみ
マネキンの頭部（プラ製）,Mannequin head (plastic),模特头（塑料制）,마네킹 머리 (플라스틱제),Đầu ma-nơ-canh (nhựa),Голова манекена (пластик),Kepala Manekin (plastik),金属製は「燃やせないごみ」,Metal ones are 'Non-burnable trash'.,有料,燃やせるごみ
まほうびん,Thermos bottle,保温瓶,보온병,Bình giữ nhiệt,Термос,Termos,なし,None,有料,燃やせないごみ
マヨネーズのチューブ,Mayonnaise tube,蛋黄酱软管,마요네즈 튜브,Tuýp sốt mayonnaise,Тюбик майонеза,Tube Mayones,中身を使い切って,Empty the contents completely.,無料,容器包装プラスチック
丸太,Log,原木,통나무,Gỗ tròn,Бревно,Batang Kayu,なし,None,有料,大型ごみ
ミキサー,Blender,搅拌机,믹서기,Máy xay sinh tố,Миксер,Blender,小型家電の無料回収に出すと資源に！,Can be recycled if placed in free collection for small appliances.,有料,燃やせないごみ
ミシン,Sewing machine,缝纫机,재봉틀,Máy may,Швейная машина,Mesin Jahit,"小型家電の無料回収に出すと資源に！
収納式腰掛け用は「大型ごみ」",Can be recycled via free collection; those with built-in seats are 'Bulky trash'.,有料,燃やせないごみ
水切りかご（金属製）,Dish drainer (metal),沥水篮（金属制）,식기 건조대 (금속제),Rổ ráo nước (kim loại),Сушилка для посуды (металл),Rak Pengering Piring (logam),なし,None,有料,燃やせないごみ
水切りかご（プラ製）,Dish drainer (plastic),沥水篮（塑料制）,식기 건조대 (플라스틱제),Rổ ráo nước (nhựa),Сушилка для посуды (пластик),Rak Pengering Piring (plastik),なし,None,有料,燃やせるごみ
水まくら,Water pillow / Ice bag,水枕,물베개,Túi chườm nước,Грелка для головы (водяная),Bantal Air,なし,None,有料,燃やせるごみ
ミニコンポ,Mini stereo system,迷你音响,미니 콤포,Dàn âm thanh mini,Мини-компонентная система,Mini Compo,小型家電の無料回収に出すと資源に！,Can be recycled if placed in free collection for small appliances.,有料,燃やせないごみ
耳かき,Ear pick,耳勺,귀이개,Que ráy tai,Ушная палочка,Korek Kuping,金属製は「燃やせないごみ」,Metal ones are 'Non-burnable trash'.,有料,燃やせるごみ
虫かご,Insect cage,昆虫笼,곤충 채집통,Lồng nuôi côn trùng,Садок для насекомых,Kandang serangga,なし,N/A,有料,燃やせるごみ
虫ピン,Insect pins,昆虫针,곤충핀,Đinh ghim côn trùng,Булавка для насекомых,Jarum serangga,厚紙などで包んで、「キケン」と表示,Wrap with thick paper and label 'DANGER'.,有料,燃やせないごみ
虫めがね,Magnifying glass,放大镜,돋보기,Kính lúp,Лупа,Kaca pembesar,なし,N/A,有料,燃やせないごみ
むしろ,Straw mat,草席,거적,Chiếu rơm,Соломенный мат,Tikar jerami,なし,N/A,有料,燃やせるごみ
名刺,Business card,名片,명함,Danh thiếp,Визитная карточка,Kartu nama,紙製以外は「燃やせるごみ」,Non-paper material must be disposed of as 'Burnable Trash'.,無料,雑がみ
眼鏡,Glasses,眼镜,안경,Kính mắt,Очки,Kacamata,プラ製は「燃やせるごみ」,Plastic frames must be disposed of as 'Burnable Trash'.,有料,燃やせないごみ
眼鏡ケース,Glasses case,眼镜盒,안경 케이스,Hộp đựng kính,Футляр для очков,Kotak kacamata,金属製は「燃やせないごみ」,Metal cases must be disposed of as 'Non-Burnable Trash'.,有料,燃やせるごみ
目薬に付属の携帯ケース,Eyedrop portable case (attached),眼药水附带的便携盒,안약 휴대용 케이스,Hộp đựng di động kèm theo thuốc nhỏ mắt,Футляр для глазных капель,Kotak portabel tetes mata,なし,N/A,無料,容器包装プラスチック
目薬の容器,Eyedrop container,眼药水容器,안약 용기,Lọ thuốc nhỏ mắt,Контейнер для глазных капель,Wadah tetes mata,なし,N/A,無料,容器包装プラスチック
面（剣道・フェンシング）,Mask (Kendo/Fencing),面罩（剑道/击剑）,호면 (검도/펜싱),Mặt nạ (Kiếm đạo/Đấu kiếm),Маска (Кендо/Фехтование),Pelindung Wajah (Kendo/Anggar),なし,N/A,有料,燃やせないごみ
綿棒,Cotton swab,棉签,면봉,Bông tăm,Ватная палочка,Cotton bud,なし,N/A,有料,燃やせるごみ
麺棒,Rolling pin,擀面杖,밀대,Cây cán bột,Скалка,Penggiling adonan,なし,N/A,有料,燃やせるごみ
毛布,Blanket,毛毯,담요,Chăn,Одеяло,Selimut,地区リサイクルセンターに出すと資源に！無料に！（※二重の毛布は対象外）,Bring to a local recycling center for free recycling. (Excludes double-layer blankets),有料,燃やせるごみ
木馬（子供用遊具）,Wooden horse (child toy),木马（儿童玩具）,목마 (아동 놀이기구),Ngựa gỗ (đồ chơi trẻ em),Деревянная лошадка (детская игрушка),Kuda kayu (mainan anak),リサイクル（リユース）収集対象,Eligible for recycling (reuse) collection.,有料,大型ごみ
餅つき機,Mochi pounding machine,年糕机,떡 제조기,Máy giã bánh mochi,Машина для приготовления моти,Mesin penumbuk mochi,小型家電の無料回収に出すと資源に！,Use the free collection for small appliances for recycling.,有料,燃やせないごみ
モップ,Mop,拖把,대걸레,Cây lau nhà,Швабра,Pel,ハンディモップは「燃やせるごみ」,Handheld mops are 'Burnable Trash'.,有料,大型ごみ
物置,Storage shed (prefabricated),储藏室/置物架,창고,Nhà kho,Сарай,Gudang penyimpanan,なし,N/A,有料,大型ごみ
物干し（室内用）,Indoor clothes drying rack,室内晾衣架,실내용 빨래 건조대,Giá phơi quần áo trong nhà,Сушилка для белья (комнатная),Rak pengering pakaian dalam ruangan,なし,N/A,有料,大型ごみ
物干しざお,Clothesline pole/rod,晾衣杆,빨래 건조대 봉,Sào phơi quần áo,Бельевая веревка/Шест,Tiang jemuran,なし,N/A,有料,大型ごみ
物干し台（台付きのもの・支柱のみ）,Clothesline stand (with base or pillar only),晾衣台（带底座或仅支柱）,빨래 건조대 (받침대 포함 또는 지지대만),Giá phơi quần áo (có đế hoặc chỉ có trụ),Стойка для сушки белья (с основанием или только столб),Dudukan jemuran (dengan alas atau tiang saja),なし,N/A,有料,大型ごみ
物干し台（台のみ）,Clothesline stand (base only),晾衣台（仅底座）,빨래 건조대 (받침대만),Đế phơi quần áo (chỉ có đế),Основание стойки для сушки белья,Alas dudukan jemuran (alas saja),なし,N/A,有料,燃やせないごみ
モバイルバッテリー,Mobile battery/Power bank,移动电源,모바일 배터리,Pin sạc dự phòng,Мобильный аккумулятор,Bank daya,JBRC回収協力店などへ（市が収集しないごみのページ参照）,"Not collected by the city. Take to JBRC collection partners, etc.",-,市で収集しないもの
モルタル（水和・硬化済のもの）,Mortar (hydrated/hardened),砂浆（水合/硬化后的）,모르타르 (수화 및 경화된 것),Vữa (đã hydrat hóa/đã cứng),Строительный раствор (гидратированный/затвердевший),Mortar (yang sudah dihidrasi/mengeras),なし,N/A,有料,燃やせないごみ
やかん,Kettle/Teakettle,水壶,주전자,Ấm đun nước,Чайник,Ketel,小物金属類の無料回収に出すと資源に！,Use the free collection for small metal items for recycling.,有料,燃やせないごみ
野菜などの結束用テープ,Tapes for binding vegetables,蔬菜捆扎胶带,채소 등 묶는 테이프,Băng keo buộc rau củ,Лента для связывания овощей,Pita pengikat sayuran,なし,N/A,有料,燃やせるごみ
野菜の網・ネット,Vegetable netting/mesh,蔬菜网/网袋,채소망/네트,Lưới đựng rau củ,Сетка для овощей,Jaring/Net sayuran,発泡スチロール製ネットを含む,Includes Styrofoam nets.,無料,容器包装プラスチック
